Structure	PredictedUnits	TMscore	Evaluation	Ignored
19hc_A	46-132;224-289	0.64660;0.64660	TP	
1a4p_A	8-46;47-81	0.59505;0.59505	TP	
1a4s_A	264-311;342-389	0.39335;0.39335		
1a6d_A	No repeats found			
1a8l_A	10-116;123-226	0.76705;0.76705	TP	
1af2_A	34-126;189-264	0.78500;0.78500	TP	
1afw_B	12-128;276-379	0.69233;0.69233	TP	
1ahj_A	No repeats found			
1ai3_A	No repeats found			
1aj8_A	40-124;151-225	0.67405;0.67405	TP	
1ako_A	No repeats found			
1ala_A	16-158;172-317	0.84894;0.84894	TP	
1aoa_A	22-138;169-275	0.73556;0.73556	TP	
1at0_A	1-64;67-133	0.72144;0.72144	TP	
1b24_A	7-75;102-155	0.63190;0.63190	TP	
1b65_A	No repeats found			
1b70_B	25-179;428-465	0.59813;0.59813	TP	
1b77_A	3-97;118-223	0.60691;0.60691	TP	
1bj5_A	105-194;293-375;375-455;500-584	0.79488;0.79488;0.65351;0.71754	TP	
1bml_C	7-134;149-286	0.69832;0.69832	TP	
1boy_A	13-101;115-209	0.65031;0.65031	TP	
1bp1_A	71-201;335-443	0.54809;0.54809	TP	
1bwz_A	1-110;147-252	0.72817;0.72817	TP	
1c3g_A	1-79;87-164	0.70738;0.70738	TP	
1c8u_A	19-109;177-281	0.84976;0.84976	TP	
1c8v_B	86-136;200-258	0.61998;0.61998	TP	
1c9y_A	No repeats found			
1cdw_A	3-86;93-177	0.88644;0.88644	TP	
1cjd_A	No repeats found			
1ckv_A	No repeats found			
1cpo_A	50-85;153-193	0.60158;0.60158	TP	
1d2o_A	1-81;91-173	0.91886;0.91886	TP	
1d4v_A	No repeats found			
1d8h_A	131-173;214-262	0.59550;0.59550	TP	
1ddz_A	9-235;262-489	0.98462;0.98462	TP	
1dfc_A	26-157;156-269;275-391;391-473	0.82523;0.74866;0.82523;0.78298	TP	
1dkr_B	9-164;168-308	0.78465;0.78465	TP	
1dlp_A	10-110;134-235	0.94832;0.94832	TP	
1doz_A	3-164;173-307	0.75789;0.75789	TP	
1e0c_A	8-124;145-265	0.86096;0.86096	TP	
1eb7_A	25-170;180-306	0.64999;0.64999	TP	
1efd_N	No repeats found			
1emn_A	No repeats found			
1erz_A	3-47;163-196	0.58199;0.58199	TP	
1exj_A	No repeats found			
1f0i_A	3-222;312-490	0.68867;0.68867	TP	
1f34_B	No repeats found			
1f53_A	No repeats found			
1f9z_A	4-71;73-126	0.68545;0.68545	TP	
1fga_A	20-58;62-99;103-143	0.75362;0.75362;0.69001	TP	
1fjr_A	No repeats found			
1ftr_A	18-111;166-282	0.72549;0.72549	TP	
1fx8_A	6-111;144-259	0.82637;0.82637	TP	
1fyz_E	18-73;97-146	0.77426;0.77426	TP	
1g1b_A	No repeats found			
1g4m_A	7-85;183-259	0.50925;0.50925	TP	
1g61_A	10-46;103-137;147-181;191-227	0.89186;0.79792;0.89186;0.77022	TP	
1guw_A	No repeats found			
1h5y_B	6-123;127-244	0.81255;0.81255	TP	
1h6g_A	1-129;134-255	0.77928;0.77928	TP	
1h99_A	13-112;120-221	0.66642;0.66642	TP	
1h9m_A	4-72;76-144	0.94368;0.94368	TP	
1haz_B	No repeats found			
1hg7_A	No repeats found			
1hr6_A	16-207;227-448	0.76244;0.76244	TP	
1hsl_A	5-74;111-163	0.66634;0.66634	TP	
1hxp_A	70-174;218-303	0.70119;0.70119	TP	
1i50_H	4-61;94-146	0.62896;0.62896	TP	
1i7o_A	2-217;222-429	0.88480;0.88480	TP	
1i8d_A	1-89;98-187	0.91349;0.91349	TP	
1idu_A	21-70;300-342	0.65633;0.65633	TP	
